period,trailing_eps,book_value_per_share,pe,pb,ps,dividend_yield,beta,ev_ebit,ev_ebitda
2026-Q1,2887,18212,9.32,1.48,3.9,0,0.85,23.68,19.16
2025-Q4,2203,17096,11.98,1.54,4.39,0,1.07,49.44,20.84
2025-Q3,2157,16613,13.05,1.69,5.93,0,1.14,56.22,25.98
2025-Q2,2100,19130,10.81,1.19,4.04,0,1.11,41.75,19.86
2025-Q1,1984,18448,13.49,1.45,4.55,0,1.21,56.64,40.36
2024-Q4,1951,17924,13.66,1.49,4.94,0,1.22,64.13,25.57
2024-Q3,2028,17476,12.99,1.51,4.96,0,1.69,60.68,23.14
2024-Q2,1906,16991,14.85,1.67,4.58,0,1.74,56.1,22.74
2024-Q1,1601,18165,18.9,1.67,5.7,0,1.66,61.87,42.91
2023-Q4,1175,17685,23.78,1.58,4.73,0,1.66,52.67,20.56
2023-Q3,322,17174,81.75,1.53,5.37,0,1.6,66.43,21.56
2023-Q2,-328,16830,-79.69,1.55,5.16,0,1.61,73.07,21.83
2023-Q1,121,16585,172.22,1.25,4.55,0.02,1.59,114.24,54.84
2022-Q4,1636,16529,11,1.09,4.05,0.03,1.48,-134.7,28.7
2022-Q3,3705,16867,5.72,1.26,3.61,0.02,1.08,-382.09,29.56
2022-Q2,6689,17183,3.33,1.3,3.47,0.02,1.1,35.22,15.82
2022-Q1,8376,22124,5.38,2.04,4.58,0.01,1.11,25.53,21.7
2021-Q4,8630,20295,5.38,2.29,4.64,0.01,1.08,27.97,17.78
2021-Q3,8590,18852,6.16,2.81,6.12,0.01,1.09,24.4,21.61
2021-Q2,7545,16541,6.83,3.11,6.56,0.02,1.06,24.82,21.99
2021-Q1,5824,19987,8.04,2.34,4.97,0.01,1.05,23.65,20.13
2020-Q4,4503,17873,9.21,2.32,5.33,0.01,1.12,25.96,21.52
2020-Q3,3774,16596,7,1.59,3.54,0.02,1.1,23.38,18.86
2020-Q2,3151,19044,8.51,1.41,3.62,0,1.07,30.17,23.2
2020-Q1,3031,18132,5.56,0.93,2.31,0,1.04,26.04,19.32
2019-Q4,3017,17308,7.79,1.36,3.26,0,0.95,37.96,29.26
2019-Q3,3169,16678,6.93,1.32,3.38,0,0.98,39.06,31.83
2019-Q2,3714,16029,6.33,1.47,3.35,0,0.99,23.75,19.74
2019-Q1,4117,19874,7.82,1.62,4.26,0,0.99,31.07,24.91
2018-Q4,4653,19120,6.65,1.62,3.96,0,0.93,31.5,25.15
2018-Q3,5468,18378,7.74,2.3,5.01,0,0.87,27.5,23.38
2018-Q2,5997,17245,6.4,2.23,4.01,0,0.89,25.6,21.39
2018-Q1,5978,22697,10.1,2.66,6.42,0,0.81,35.7,29.65
2017-Q4,6522,21358,7.18,2.19,4.5,0,0.96,27.66,23.96
2017-Q3,7183,19867,5.42,1.96,3.26,0,0.95,23.63,19.92
2017-Q2,7891,18146,4.06,1.76,2.68,0.05,1.01,26.7,21.56
2017-Q1,9498,25397,3.22,1.2,2.35,0.05,0.99,17.7,14.72
2016-Q4,8627,23558,5,1.83,3.32,0.03,1.05,14.01,12.62
2016-Q3,7082,21436,6.45,2.13,4.27,0.03,1.12,17.58,14.87
2016-Q2,6338,23911,6.25,1.66,3.61,0,1.12,10.53,8.99
2016-Q1,5653,21081,5.22,1.4,3.03,0.03,1.11,15.95,12.53
2015-Q4,5574,19738,5.24,1.48,2.75,0.03,1.09,28.17,19.74
2015-Q3,6076,19189,5,1.58,2.71,0.03,1.15,18.18,14.89
2015-Q2,6531,17886,4.42,1.62,2.06,0.03,1.13,14.63,12.42
2015-Q1,6189,25293,7.13,0,0,0.03,1.16,33.17,24.43
2014-Q4,6865,24479,7.72,2.17,3.75,0.03,1.14,46.4,33.6
2014-Q3,7163,23812,8.03,2.41,4.51,0.03,1.06,29.8,24.73
2014-Q2,6589,22199,8.2,2.43,3.51,0.05,1.1,26.36,21.52
2014-Q1,5650,24602,9.38,2.15,3.41,0.02,1.14,22.96,18.74
2013-Q4,4663,22665,8.81,0,0,0.02,1.29,30.19,22.79
2013-Q3,4074,21729,8.62,0,0,0.06,1.44,30.11,24.39
2013-Q2,3729,21545,7.56,1.31,2.61,0.04,1.3,25.53,22.01
2013-Q1,3425,20324,7.59,1.28,2.54,0.04,1.23,25.22,20.47
2012-Q4,2890,19294,7.27,1.09,1.82,0.05,1.19,46.13,31.15
2012-Q3,2870,23751,6.72,0.81,1.64,0,1.15,25.96,19.93
2012-Q2,2372,22925,10.12,1.05,1.76,0,1.16,25.39,20.03
2012-Q1,2812,21788,8.21,1.06,1.84,0,1.1,32.28,23.88
