news_title,public_date
HPG: Giấy xác nhận về việc thay đổi nội dung đăng ký doanh nghiệp,2026-05-18T11:15:22
HPG: Thông báo về ngày đăng ký cuối cùng trả cổ tức năm 2025 bằng cổ phiếu,2026-05-15T14:15:33
"Hòa Phát (HPG) khởi công Khu công nghiệp Hoàng Diệu, đón nhà đầu tư từ quý IV/2026",2026-05-15T13:52:00
HPG: Thông báo phát hành cổ phiếu để trả cổ tức,2026-05-14T08:46:39
"HPG: Thông báo thay đổi nhân sự HĐQT, BKS, TGĐ nhiệm kỳ 2026-2031",2026-05-08T17:32:00
HPG: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức năm 2025 bằng cổ phiếu,2026-05-08T17:31:30
Hòa Phát (HPG) chi hơn 3.800 tỷ đồng chia cổ tức năm 2025,2026-05-05T15:57:00
HPG: Thông báo điều chỉnh nội dung tại Thông báo số 1013/TB-SGDHCM ngày 04/05/2026,2026-05-05T15:40:53
HPG: Thông báo về ngày đăng ký cuối cùng chi trả cổ tức năm 2025 bằng tiền,2026-05-05T10:17:14
HPG: Thông báo ngày ĐKCC thực hiện quyền chi trả cổ tức năm 2025 bằng tiền mặt,2026-04-29T14:34:22
HPG: Nghị quyết HĐQT về việc triển khai phương án chi tiết chi trả cổ tức 2025,2026-04-29T11:13:13
HPG: Điều lệ công ty sửa đổi ban hành tháng 04/2026,2026-04-28T17:10:15
"HPG: Nghị quyết HĐQT về việc bầu Chủ tịch, Phó Chủ tịch HĐQT và TGĐ",2026-04-24T09:56:00
HPG: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên 2026,2026-04-23T13:34:45
HPG: CBTT kết quả kinh doanh quý 1/2026,2026-04-22T14:07:14
HPG: Báo cáo phát triển bền vững năm 2025,2026-04-21T17:18:33
HPG: Thông báo đường dẫn báo cáo thường niên năm 2025,2026-04-15T16:51:23
HPG: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến Người nội bộ Trần Vũ Minh,2026-04-13T16:53:55
Hòa Phát hợp tác với TÜV SÜD kiểm định và chứng nhận chất lượng ray đường sắt,2026-04-03T13:46:00
HPG: Giải trình KQKD HN và Cty mẹ năm 2025 so với cùng kỳ năm trước,2026-03-30T16:14:19
HPG: Thông báo họp và link tài liệu họp ĐHĐCĐ thường niên 2026,2026-03-30T14:23:24
HPG dự kiến chia cổ tức bằng tiền và cổ phiếu,2026-03-28T08:32:00
HPG: Nghị quyết HĐQT số 04 ngày 27/03/2026,2026-03-27T18:12:04
HPG: Con trai ông Trần Đình Long đăng ký mua 50 triệu cổ phiếu,2026-03-10T15:47:00
Con trai Chủ tịch HPG đăng ký mua 50 triệu cổ phiếu,2026-03-10T09:08:00
HPG: Thông báo về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2026,2026-03-03T11:04:36
HPG: Thông báo ngày ĐKCC thực hiện quyền tham dự ĐHĐCĐ TN 2026,2026-02-26T16:47:53
"HPG: Nghị quyết HĐQT về việc thông qua thời gian, địa điểm tổ chức ĐHĐCĐTN 2026",2026-02-26T16:46:34
Hòa Phát (HPG) khởi công dự án Khu công nghiệp Đồng Phúc quy mô gần 355 ha tại Bắc Ninh,2026-02-05T14:39:00
HPG: Báo cáo tình hình quản trị công ty năm 2025,2026-02-02T09:39:19
HPG: Kết quả kinh doanh quý 4/2025,2026-01-30T19:17:19
Hòa Phát (HPG) nộp ngân sách 13.000 tỷ đồng,2026-01-14T06:56:00
HPG: Nghị quyết HĐQT về việc thông qua chủ trương thực hiện giao dịch với bên liên quan dự kiến phát sinh năm 2026,2026-01-09T17:58:33
"Hòa Phát (HPG) lập kỷ lục vượt 10 triệu tấn thép trong năm 2025, tăng 31% so với 2024",2026-01-09T15:09:00
Hòa Phát (HPG) đầu tư Khu công nghiệp số 06 quy mô hơn 230 ha tại Hưng Yên,2025-12-22T14:18:00
"Hòa Phát (HPG) khởi công Nhà máy sản xuất ray cao tốc và thép đặc biệt, sẵn sàng cung cấp vào các dự án trọng điểm",2025-12-19T14:21:00
"Hòa Phát khởi công Nhà máy sản xuất ray cao tốc và thép đặc biệt, sẵn sàng cung cấp vào các dự án trọng điểm",2025-12-19T14:21:00
HPG: Nghị quyết HĐQT về việc chấm dứt hoạt động chi nhánh Đà Nẵng,2025-11-11T17:38:17
HPG: Kết quả SXKD quý 3/2025,2025-10-29T16:53:09
HPG: Giải trình biến động LNST trên BCTC bán niên 2025 soát xét so với cùng kỳ năm trước,2025-09-03T14:34:03
HPG: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Chu Quang Việt,2025-08-28T14:28:32
HPG: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 38,2025-08-13T14:49:44
"Hòa Phát (HPG) khai lò thổi số 2, Dung Quất 2 đã sẵn sàng",2025-08-12T09:09:00
HPG: Anh trai Thành viên HĐQT đăng ký bán 50.000 cổ phiếu,2025-08-05T17:18:00
HPG: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Đặng Ngọc Khánh,2025-07-31T16:44:07
HPG: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,2025-07-28T17:20:45
HPG: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,2025-07-22T08:53:00
HPG: Quyết định về việc thay đổi đăng ký niêm yết,2025-07-18T16:17:00
HPG: Thông báo thay đổi địa chỉ công ty,2025-07-18T15:03:05
Ngày 19/8 HPG sẽ khởi công nhà máy sản xuất ray thép tàu cao tốc và thép hình đặc biệt tại Dung Quất,2025-07-18T09:42:00
